"SKU","snapshot_date","units_in_stock","units_sold_7d","units_sold_30d","units_sold_60d","days_of_inventory_left","dead_stock_flag","total_order_quantity","avg_cost_per_unit","avg_lead_time","expected_delivery","actual_delivery"
"SKU-SHI-0001","2023-01-15",0,66,232,374,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0002","2023-01-15",0,26,103,186,0.0,"N",164.0,982.0,48.0,"2023-03-04","2023-03-04"
"SKU-SHI-0003","2023-01-15",0,22,79,125,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0004","2023-01-15",0,9,48,78,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0005","2023-01-15",0,16,45,71,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0006","2023-01-15",0,5,28,48,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0007","2023-01-15",0,8,24,52,0.0,"N",63.0,818.0,31.0,"2023-02-15","2023-02-15"
"SKU-PAN-0008","2023-01-15",0,4,18,30,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0009","2023-01-15",0,6,18,31,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0010","2023-01-15",0,6,20,30,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0011","2023-01-15",0,5,16,26,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0012","2023-01-15",0,4,17,28,0.0,"N",40.0,715.0,41.0,"2023-02-22","2023-02-25"
"SKU-SHI-0013","2023-01-15",0,4,9,22,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0014","2023-01-15",0,3,10,21,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0015","2023-01-15",27,5,15,27,54.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0016","2023-01-15",13,0,9,12,43.3,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0017","2023-01-15",0,2,10,14,0.0,"N",63.0,842.0,47.0,"2023-03-03","2023-03-03"
"SKU-PAN-0018","2023-01-15",40,6,16,20,75.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0019","2023-01-15",0,3,7,10,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0020","2023-01-15",11,4,11,13,30.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0021","2023-01-15",17,2,8,11,63.8,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0022","2023-01-15",36,3,8,16,135.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0023","2023-01-15",48,1,9,12,160.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0024","2023-01-15",0,1,6,14,0.0,"N",52.0,854.0,42.0,"2023-02-25","2023-02-26"
"SKU-JAC-0025","2023-01-15",17,5,7,13,72.9,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0026","2023-01-15",33,1,4,8,247.5,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0027","2023-01-15",0,4,9,13,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0028","2023-01-15",37,1,9,13,123.3,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0029","2023-01-15",46,2,6,9,230.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0030","2023-01-15",13,2,3,5,130.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0031","2023-01-15",0,2,6,10,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0032","2023-01-15",55,1,4,7,412.5,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0033","2023-01-15",74,2,6,10,370.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0034","2023-01-15",37,0,4,7,277.5,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0035","2023-01-15",5,1,5,7,30.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0036","2023-01-15",88,3,4,8,660.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0037","2023-01-15",77,1,6,7,385.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0038","2023-01-15",4,1,5,6,24.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0039","2023-01-15",67,2,5,8,402.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0040","2023-01-15",88,1,5,7,528.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0041","2023-01-15",95,1,4,6,712.5,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0042","2023-01-15",80,1,6,8,400.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0043","2023-01-15",26,0,2,6,390.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0044","2023-01-15",84,0,2,6,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0045","2023-01-15",84,0,1,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0046","2023-01-15",99,0,5,5,594.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0047","2023-01-15",79,2,4,7,592.5,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0048","2023-01-15",28,0,1,3,840.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0049","2023-01-15",100,0,4,4,750.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0050","2023-01-15",90,2,3,3,900.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0051","2023-01-15",39,0,0,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0052","2023-01-15",49,1,4,8,367.5,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0053","2023-01-15",44,1,5,7,264.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0054","2023-01-15",52,0,3,5,520.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0055","2023-01-15",92,0,2,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0001","2023-01-22",0,68,262,404,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0002","2023-01-22",0,36,115,202,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0003","2023-01-22",0,13,72,129,0.0,"N",118.0,1004.0,38.0,"2023-02-26","2023-03-01"
"SKU-TSH-0004","2023-01-22",0,17,52,86,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0005","2023-01-22",0,7,47,73,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0006","2023-01-22",0,5,25,47,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0007","2023-01-22",0,8,27,53,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0008","2023-01-22",0,6,17,30,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0009","2023-01-22",0,4,17,32,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0010","2023-01-22",0,6,23,34,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0011","2023-01-22",0,4,14,30,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0012","2023-01-22",0,3,17,28,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0013","2023-01-22",0,1,9,21,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0014","2023-01-22",0,4,12,20,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0015","2023-01-22",25,2,13,28,57.7,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0016","2023-01-22",11,2,8,14,41.2,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0017","2023-01-22",0,2,11,15,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0018","2023-01-22",35,5,15,25,70.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0019","2023-01-22",0,1,6,10,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0020","2023-01-22",9,2,12,15,22.5,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0021","2023-01-22",13,4,11,14,35.5,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0022","2023-01-22",34,2,7,18,145.7,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0023","2023-01-22",43,5,13,16,99.2,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0024","2023-01-22",0,2,7,14,0.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0025","2023-01-22",16,1,8,13,60.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0026","2023-01-22",30,3,5,10,180.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0027","2023-01-22",0,1,9,14,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0028","2023-01-22",34,3,12,16,85.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0029","2023-01-22",46,0,4,9,345.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0030","2023-01-22",12,1,3,5,120.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0031","2023-01-22",0,2,7,11,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0032","2023-01-22",54,1,3,8,540.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0033","2023-01-22",74,0,4,8,555.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0034","2023-01-22",35,2,5,9,210.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0035","2023-01-22",5,0,4,7,37.5,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0036","2023-01-22",86,2,5,10,516.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0037","2023-01-22",75,2,7,9,321.4,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0038","2023-01-22",4,0,3,6,40.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0039","2023-01-22",65,2,7,10,278.6,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0040","2023-01-22",88,0,2,6,999.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0041","2023-01-22",95,0,4,5,712.5,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0042","2023-01-22",79,1,5,8,474.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0043","2023-01-22",26,0,1,6,780.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0044","2023-01-22",84,0,2,4,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0045","2023-01-22",84,0,0,1,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0046","2023-01-22",99,0,2,5,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0047","2023-01-22",76,3,7,8,325.7,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0048","2023-01-22",24,4,4,7,180.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0049","2023-01-22",99,1,4,5,742.5,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0050","2023-01-22",90,0,3,3,900.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0051","2023-01-22",39,0,0,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0052","2023-01-22",49,0,4,8,367.5,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0053","2023-01-22",42,2,5,8,252.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0054","2023-01-22",51,1,3,5,510.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0055","2023-01-22",89,3,5,5,534.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0001","2023-01-29",0,76,297,455,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0002","2023-01-29",0,44,137,233,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0003","2023-01-29",0,21,79,144,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0004","2023-01-29",0,16,57,98,0.0,"N",144.0,539.0,39.0,"2023-03-09","2023-03-09"
"SKU-CRO-0005","2023-01-29",0,11,50,82,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0006","2023-01-29",0,12,32,58,0.0,"N",74.0,1097.0,38.0,"2023-03-07","2023-03-08"
"SKU-CRO-0007","2023-01-29",0,4,28,49,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0008","2023-01-29",0,14,27,43,0.0,"N",66.0,1152.0,41.0,"2023-03-11","2023-03-11"
"SKU-PAN-0009","2023-01-29",0,9,23,39,0.0,"N",74.0,1008.0,51.0,"2023-03-21","2023-03-21"
"SKU-TSH-0010","2023-01-29",0,5,24,37,0.0,"N",56.0,782.0,56.0,"2023-03-21","2023-03-26"
"SKU-SHO-0011","2023-01-29",0,6,17,35,0.0,"N",40.0,761.0,43.0,"2023-03-13","2023-03-13"
"SKU-TSH-0012","2023-01-29",0,5,17,33,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0013","2023-01-29",0,6,14,21,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0014","2023-01-29",0,5,14,22,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0015","2023-01-29",25,0,12,24,62.5,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0016","2023-01-29",10,1,8,14,37.5,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0017","2023-01-29",0,2,12,16,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0018","2023-01-29",35,0,14,23,75.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0019","2023-01-29",0,4,9,13,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0020","2023-01-29",9,0,10,15,27.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0021","2023-01-29",10,3,13,15,23.1,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0022","2023-01-29",33,1,8,17,123.8,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0023","2023-01-29",39,4,15,20,78.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0024","2023-01-29",0,2,8,15,0.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0025","2023-01-29",14,2,9,12,46.7,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0026","2023-01-29",28,2,6,11,140.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0027","2023-01-29",0,1,8,15,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0028","2023-01-29",31,3,13,19,71.5,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0029","2023-01-29",41,5,9,12,136.7,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0030","2023-01-29",11,1,4,6,82.5,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0031","2023-01-29",0,0,7,10,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0032","2023-01-29",53,1,4,7,397.5,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0033","2023-01-29",71,3,7,10,304.3,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0034","2023-01-29",33,2,7,10,141.4,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0035","2023-01-29",3,2,4,9,22.5,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0036","2023-01-29",86,0,5,9,516.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0037","2023-01-29",73,2,9,11,243.3,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0038","2023-01-29",2,2,5,7,12.0,"N",40.0,1060.0,60.0,"2023-03-25","2023-03-30"
"SKU-SHO-0039","2023-01-29",64,1,7,10,274.3,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0040","2023-01-29",88,0,2,6,999.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0041","2023-01-29",93,2,4,7,697.5,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0042","2023-01-29",77,2,6,10,385.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0043","2023-01-29",26,0,1,4,780.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0044","2023-01-29",83,1,2,4,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0045","2023-01-29",82,2,2,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0046","2023-01-29",97,2,3,7,970.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0047","2023-01-29",73,3,9,10,243.3,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0048","2023-01-29",24,0,4,7,180.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0049","2023-01-29",98,1,5,6,588.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0050","2023-01-29",89,1,4,4,667.5,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0051","2023-01-29",37,2,2,4,555.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0052","2023-01-29",48,1,4,9,360.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0053","2023-01-29",40,2,7,9,171.4,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0054","2023-01-29",51,0,2,5,765.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0055","2023-01-29",89,0,5,5,534.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0001","2023-02-05",0,60,280,495,0.0,"N",433.0,705.0,57.0,"2023-03-29","2023-04-03"
"SKU-PAN-0002","2023-02-05",0,28,138,239,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0003","2023-02-05",0,18,79,142,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0004","2023-02-05",0,15,63,104,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0005","2023-02-05",0,14,51,83,0.0,"N",126.0,846.0,46.0,"2023-03-18","2023-03-23"
"SKU-SHI-0006","2023-02-05",0,11,33,62,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0007","2023-02-05",0,7,28,50,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0008","2023-02-05",0,8,33,51,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0009","2023-02-05",0,5,24,41,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0010","2023-02-05",0,6,24,41,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0011","2023-02-05",0,5,20,35,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0012","2023-02-05",0,3,15,33,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0013","2023-02-05",0,2,13,22,0.0,"N",42.0,1227.0,43.0,"2023-03-18","2023-03-20"
"SKU-CRO-0014","2023-02-05",0,4,17,23,0.0,"N",84.0,756.0,40.0,"2023-03-12","2023-03-17"
"SKU-SHI-0015","2023-02-05",23,2,11,25,62.7,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0016","2023-02-05",9,1,4,14,67.5,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0017","2023-02-05",0,1,10,15,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0018","2023-02-05",34,1,13,24,78.5,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0019","2023-02-05",0,2,10,14,0.0,"N",40.0,726.0,40.0,"2023-03-14","2023-03-17"
"SKU-PAN-0020","2023-02-05",5,4,12,19,12.5,"N",40.0,1163.0,52.0,"2023-03-26","2023-03-29"
"SKU-PAN-0021","2023-02-05",7,3,13,18,16.2,"N",78.0,1216.0,49.0,"2023-03-23","2023-03-26"
"SKU-PAN-0022","2023-02-05",32,1,8,15,120.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0023","2023-02-05",36,3,14,23,77.1,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0024","2023-02-05",0,4,10,18,0.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0025","2023-02-05",12,2,10,12,36.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0026","2023-02-05",28,0,6,10,140.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0027","2023-02-05",0,1,8,15,0.0,"N",71.0,1871.0,33.0,"2023-03-09","2023-03-10"
"SKU-PAN-0028","2023-02-05",31,0,8,17,116.2,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0029","2023-02-05",40,1,9,13,133.3,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0030","2023-02-05",11,0,4,5,82.5,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0031","2023-02-05",0,3,7,12,0.0,"N",50.0,1800.0,42.0,"2023-03-16","2023-03-19"
"SKU-TSH-0032","2023-02-05",53,0,3,6,530.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0033","2023-02-05",71,0,6,9,355.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0034","2023-02-05",33,0,6,9,165.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0035","2023-02-05",2,1,4,10,15.0,"N",40.0,721.0,53.0,"2023-03-28","2023-03-30"
"SKU-SHI-0036","2023-02-05",86,0,5,8,516.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0037","2023-02-05",70,3,8,14,262.5,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0038","2023-02-05",1,1,4,8,7.5,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0039","2023-02-05",63,1,7,10,270.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0040","2023-02-05",87,1,2,7,999.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0041","2023-02-05",93,0,3,7,930.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0042","2023-02-05",74,3,7,13,317.1,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0043","2023-02-05",26,0,0,3,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0044","2023-02-05",79,4,5,8,474.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0045","2023-02-05",78,4,6,7,390.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0046","2023-02-05",97,0,2,7,999.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0047","2023-02-05",72,1,10,11,216.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0048","2023-02-05",24,0,4,6,180.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0049","2023-02-05",97,1,3,7,970.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0050","2023-02-05",89,0,3,4,890.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0051","2023-02-05",37,0,2,3,555.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0052","2023-02-05",48,0,3,7,480.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0053","2023-02-05",38,2,8,11,142.5,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0054","2023-02-05",50,1,2,6,750.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0055","2023-02-05",89,0,4,5,667.5,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0001","2023-02-12",0,45,266,493,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0002","2023-02-12",0,20,135,235,0.0,"N",236.0,982.0,42.0,"2023-03-26","2023-03-26"
"SKU-SHI-0003","2023-02-12",0,9,71,140,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0004","2023-02-12",0,13,65,110,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0005","2023-02-12",0,6,43,84,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0006","2023-02-12",0,7,38,64,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0007","2023-02-12",0,8,31,55,0.0,"N",102.0,818.0,55.0,"2023-04-08","2023-04-08"
"SKU-PAN-0008","2023-02-12",0,6,36,53,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0009","2023-02-12",0,3,24,39,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0010","2023-02-12",0,3,23,41,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0011","2023-02-12",0,2,20,34,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0012","2023-02-12",0,0,12,29,0.0,"N",77.0,715.0,42.0,"2023-03-21","2023-03-26"
"SKU-SHI-0013","2023-02-12",0,1,13,21,0.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0014","2023-02-12",0,3,17,26,0.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0015","2023-02-12",22,1,6,23,110.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0016","2023-02-12",8,1,5,14,48.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0017","2023-02-12",0,1,6,16,0.0,"N",58.0,842.0,50.0,"2023-03-29","2023-04-03"
"SKU-PAN-0018","2023-02-12",33,1,7,23,141.4,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0019","2023-02-12",0,1,9,15,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0020","2023-02-12",4,1,9,19,13.3,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0021","2023-02-12",6,1,11,19,16.4,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0022","2023-02-12",30,2,8,15,112.5,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0023","2023-02-12",36,0,13,23,83.1,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0024","2023-02-12",0,2,10,16,0.0,"N",42.0,854.0,37.0,"2023-03-21","2023-03-21"
"SKU-JAC-0025","2023-02-12",11,1,7,13,47.1,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0026","2023-02-12",26,2,7,11,111.4,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0027","2023-02-12",0,2,8,15,0.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0028","2023-02-12",31,0,7,16,132.9,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0029","2023-02-12",40,0,6,12,200.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0030","2023-02-12",9,2,6,7,45.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0031","2023-02-12",0,2,7,14,0.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0032","2023-02-12",52,1,4,7,390.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0033","2023-02-12",71,0,4,9,532.5,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0034","2023-02-12",32,1,5,10,192.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0035","2023-02-12",1,1,4,10,7.5,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0036","2023-02-12",86,0,3,6,860.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0037","2023-02-12",68,2,9,16,226.7,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0038","2023-02-12",1,0,3,8,10.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0039","2023-02-12",62,1,6,10,310.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0040","2023-02-12",87,0,2,6,999.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0041","2023-02-12",93,0,2,6,999.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0042","2023-02-12",73,1,7,13,312.9,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0043","2023-02-12",26,0,0,2,999.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0044","2023-02-12",79,0,5,8,474.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0045","2023-02-12",78,0,6,7,390.0,"N",0.0,0.0,0.0,"",""
"SKU-JAC-0046","2023-02-12",94,3,5,10,564.0,"N",0.0,0.0,0.0,"",""
"SKU-PAN-0047","2023-02-12",72,0,8,11,270.0,"N",0.0,0.0,0.0,"",""
"SKU-CRO-0048","2023-02-12",22,2,6,8,110.0,"N",0.0,0.0,0.0,"",""
"SKU-TSH-0049","2023-02-12",97,0,3,7,970.0,"N",0.0,0.0,0.0,"",""
"SKU-SHO-0050","2023-02-12",89,0,1,4,999.0,"N",0.0,0.0,0.0,"",""
"SKU-SHI-0051","2023-02-12",37,0,2,2,555.0,"N",0.0,0.0,0.0,"",""
